run_id,started_utc,duration_s,difficulty,map_id,map_seed,team_id,score,rounds_used,items_delivered,orders_completed,replay_file,action_counts_json
20260301_183032,2026-03-01T18:30:32.500912+00:00,21.344,medium,3c523f5e-160b-452c-9ffc-171ef1e845f5,7002,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,2,300,2,0,game_20260301_183032.jsonl,"{""drop_off"": 2, ""move_down"": 5, ""move_left"": 38, ""move_right"": 9, ""move_up"": 21, ""pick_up"": 4, ""wait"": 821}"
20260301_184344,2026-03-01T18:43:44.591249+00:00,17.09,medium,3c523f5e-160b-452c-9ffc-171ef1e845f5,7002,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,2,300,2,0,game_20260301_184344.jsonl,"{""drop_off"": 2, ""move_down"": 5, ""move_left"": 38, ""move_right"": 9, ""move_up"": 21, ""pick_up"": 4, ""wait"": 821}"
20260301_184559,2026-03-01T18:45:59.952461+00:00,19.613,medium,3c523f5e-160b-452c-9ffc-171ef1e845f5,7002,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,9,300,4,1,game_20260301_184559.jsonl,"{""drop_off"": 4, ""move_down"": 14, ""move_left"": 316, ""move_right"": 287, ""move_up"": 195, ""pick_up"": 46, ""wait"": 38}"
20260301_185119,2026-03-01T18:51:19.136661+00:00,23.887,medium,3c523f5e-160b-452c-9ffc-171ef1e845f5,7002,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,11,300,6,1,game_20260301_185119.jsonl,"{""drop_off"": 233, ""move_down"": 254, ""move_left"": 58, ""move_right"": 23, ""move_up"": 30, ""pick_up"": 10, ""wait"": 292}"
20260301_190435,2026-03-01T19:04:35.802593+00:00,43.459,medium,3c523f5e-160b-452c-9ffc-171ef1e845f5,7002,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,19,300,9,2,game_20260301_190435.jsonl,"{""drop_off"": 5, ""move_down"": 23, ""move_left"": 145, ""move_right"": 117, ""move_up"": 23, ""pick_up"": 68, ""wait"": 519}"
20260301_192013,2026-03-01T19:20:13.148809+00:00,23.127,medium,3c523f5e-160b-452c-9ffc-171ef1e845f5,7002,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,99,300,44,11,game_20260301_192013.jsonl,"{""drop_off"": 24, ""move_down"": 226, ""move_left"": 195, ""move_right"": 164, ""move_up"": 238, ""pick_up"": 44, ""wait"": 9}"
20260301_193238,2026-03-01T19:32:38.766637+00:00,36.074,hard,05ddc283-9097-4314-824c-90b3269a3d95,7003,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,64,300,29,7,game_20260301_193238.jsonl,"{""drop_off"": 18, ""move_down"": 317, ""move_left"": 399, ""move_right"": 333, ""move_up"": 341, ""pick_up"": 53, ""wait"": 39}"
20260301_194445,2026-03-01T19:44:45.932674+00:00,27.901,hard,05ddc283-9097-4314-824c-90b3269a3d95,7003,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,18,300,8,2,game_20260301_194445.jsonl,"{""drop_off"": 7, ""move_down"": 138, ""move_left"": 460, ""move_right"": 422, ""move_up"": 225, ""pick_up"": 47, ""wait"": 201}"
20260301_195505,2026-03-01T19:55:05.103702+00:00,23.192,hard,05ddc283-9097-4314-824c-90b3269a3d95,7003,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,71,300,31,8,game_20260301_195505.jsonl,"{""drop_off"": 20, ""move_down"": 297, ""move_left"": 385, ""move_right"": 312, ""move_up"": 308, ""pick_up"": 32, ""wait"": 146}"
20260301_195826,2026-03-01T19:58:26.614277+00:00,22.959,hard,05ddc283-9097-4314-824c-90b3269a3d95,7003,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,71,300,31,8,game_20260301_195826.jsonl,"{""drop_off"": 20, ""move_down"": 297, ""move_left"": 385, ""move_right"": 312, ""move_up"": 308, ""pick_up"": 32, ""wait"": 146}"
20260301_200517,2026-03-01T20:05:17.605453+00:00,29.66,expert,c7c7f564-2496-4ab1-9179-7532979adcb4,7004,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,60,300,30,6,game_20260301_200517.jsonl,"{""drop_off"": 17, ""move_down"": 420, ""move_left"": 674, ""move_right"": 487, ""move_up"": 486, ""pick_up"": 65, ""wait"": 851}"
